CRN,COLLISION_TYPE,COUNTY,IMPACT_POINT_NAME,FULL_VIN,Make,Model,ModelYear
2022000079,Angle,Philadelphia,front quarter panel/side mirror,5YFBURHE3GPA00000,TOYOTA,Corolla,2016
2022000092,Angle,Montgomery,front bumper,5XXGT4L31KGA00000,KIA,Optima,2019
2022000165,Rear-end,Chester,rear bumper,3KPF24AD9LEA00000,KIA,Forte,2020
2022000182,Angle,Montgomery,front bumper/headlight,KMHDH6AE9DUA00000,HYUNDAI,Elantra,2013
2022000309,Hit fixed object,Chester,front bumper,1HGCP2F35AAA00000,HONDA,Accord,2010
2022000389,Rear-end,Montgomery,rear bumper/tail light,5NPEC4AC7DHA00000,HYUNDAI,Sonata,2013
2022000429,Angle,Chester,rear bumper/tail light,KNAFX4A67E5A00000,KIA,Forte,2014
2022000591,Angle,Philadelphia,front bumper/headlight,1G1ZE5ST7GFA00000,CHEVROLET,Malibu,2016
2022000815,Angle,Montgomery,front bumper/headlight,JTDKARFU1K3A00000,TOYOTA,Prius,2019
2022001223,Angle,Montgomery,front bumper,WDDWJ4KB7HFA00000,MERCEDES-BENZ,C-Class,2017
2022001378,Hit fixed object,Delaware,front bumper,3N1BC1AP8ALA00000,NISSAN,Versa,2010
2022001484,Rear-end,Montgomery,rear bumper/tail light,2T1BU4EE6BCA00000,TOYOTA,Corolla,2011
2022001494,Angle,Philadelphia,front bumper,1N4AL3AP3GCA00000,NISSAN,Altima,2016
2022001674,Angle,Montgomery,front quarter panel/side mirror,5NPEB4AC4CHA00000,HYUNDAI,Sonata,2012
2022001674,Angle,Montgomery,front quarter panel/side mirror,5NPEB4AC4CHA00000,TOYOTA,Corolla,2020
2022001674,Angle,Montgomery,front bumper/headlight,5YFEPRAE7LPA00000,HYUNDAI,Sonata,2012
2022001674,Angle,Montgomery,front bumper/headlight,5YFEPRAE7LPA00000,TOYOTA,Corolla,2020
2022001806,Rear-end,Montgomery,rear bumper,JA4APUAUXMUA00000,MITSUBISHI,Outlander Sport,2021
2022001826,Angle,Delaware,front quarter panel/side mirror,2HGFE2F51NHA00000,HONDA,Civic,2022
2022002056,Angle,Philadelphia,rear bumper,2T1BU4EE6ACA00000,TOYOTA,Corolla,2010
2022002076,Hit fixed object,Chester,front bumper/headlight,KMHD04LB8JUA00000,HYUNDAI,Elantra,2018
2022002092,Sideswipe (same dir.),Montgomery,rear bumper/tail light,1GC1KYE81CFA00000,CHEVROLET,Silverado,2012
2022002092,Sideswipe (same dir.),Montgomery,rear bumper/tail light,1GC1KYE81CFA00000,CHEVROLET,Silverado,2020
2022002092,Sideswipe (same dir.),Montgomery,front quarter panel/side mirror,3GCUYHET5LGA00000,CHEVROLET,Silverado,2012
