"CRN","MAKE_CD","MODEL_YR","PARTIAL_VIN","IMPACT_POINT_NAME","VEHICLE_SIDE"
2022075331,"FORD",2019,"3FA6P0MU2KR","REAR BUMPER","Rear"
2022027464,"VOLV",2013,"YV1612FSXD1","FRONT BUMPER","Driver Side"
2022027464,"VOLV",2013,"YV1612FSXD1","HEADLIGHT","Driver Side"
2022077269,"FORD",2013,"1FADP3F20DL","FRONT BUMPER","Passenger Side"
2022077269,"FORD",2013,"1FADP3F20DL","HEADLIGHT","Passenger Side"
2022073542,"HYUN",2010,"KMHDU4AD3AU","FRONT BUMPER","Front"
2022104629,"MAZD",2013,"1YVHZ8EH5D5","FRONT BUMPER","Front"
2022075481,"CHEV",2021,"1GNSKRKD2MR","REAR BUMPER","Rear"
2022115040,"AUDI",2019,"WAUK2AF27KN","FRONT BUMPER","Driver Side"
2022115040,"AUDI",2019,"WAUK2AF27KN","HEADLIGHT","Driver Side"
2022111974,"TOYT",2010,"2T1BU4EE1AC","REAR BUMPER","Rear"
2022069206,"SUBA",2014,"4S3BMBC67E3","FRONT BUMPER","Front"
2022106936,"NISS",2011,"JN1AZ0CP0BT","REAR BUMPER","Rear"
2022031249,"CHEV",2013,"1G1PE5SB3D7","FRONT BUMPER","Front"
2022052399,"HYUN",2013,"5NPDH4AE4DH","FRONT BUMPER","Front"
2022052399,"TOYT",2018,"4T1B11HK9JU","REAR BUMPER","Rear"
2023003058,"TOYT",2011,"4T1BF3EK5BU","FRONT BUMPER","Front"
2023003058,"MERZ",2016,"55SWF4KBXGU","REAR BUMPER","Rear"
2023003058,"MAZD",2014,"JM1BM1V70E1","FRONT BUMPER","Front"
2022100094,"NISS",2014,"3N1AB7AP3EY","FRONT BUMPER","Passenger Side"
2022100094,"NISS",2014,"3N1AB7AP3EY","HEADLIGHT","Passenger Side"
2022114660,"VOLK",2014,"1VWAT7A32EC","FRONT BUMPER","Front"
2022095288,"TOYT",2017,"2T1BURHEXHC","REAR BUMPER","Rear"
2022025531,"CHEV",2013,"2G1WG5E39D1","FRONT BUMPER","Driver Side"
2022025531,"CHEV",2013,"2G1WG5E39D1","HEADLIGHT","Driver Side"
2022107825,"SUBA",2020,"4S3BWAA65L3","FRONT BUMPER","Passenger Side"
2022107825,"SUBA",2020,"4S3BWAA65L3","HEADLIGHT","Passenger Side"
2022074525,"CHEV",2011,"1G1PC5SH8B7","FRONT BUMPER","Passenger Side"
2022074525,"CHEV",2011,"1G1PC5SH8B7","HEADLIGHT","Passenger Side"
2022007671,"CHEV",2013,"1GNKVGKD7DJ","REAR BUMPER","Rear"
2022009093,"VOLK",2014,"WVWBP7AN5EE","FRONT BUMPER","Driver Side"
2022009093,"VOLK",2014,"WVWBP7AN5EE","HEADLIGHT","Driver Side"
2022006844,"MERZ",2018,"4JGDA5HB3JB","REAR BUMPER","Rear"
2022123515,"ACUR",2012,"19UUA8F51CA","REAR BUMPER","Driver Side"
2022123515,"ACUR",2012,"19UUA8F51CA","TAIL LIGHT","Driver Side"
2022091065,"VOLK",2017,"3VW017AU4HM","FRONT BUMPER","Front"
2022050070,"TOYT",2021,"5YFEPMAE3MP","REAR BUMPER","Passenger Side"
2022050070,"TOYT",2021,"5YFEPMAE3MP","TAIL LIGHTS","Passenger Side"
2022119817,"TOYT",2014,"4T4BF1FK6ER","FRONT BUMPER","Front"
2022070694,"TOYT",2012,"4T1BD1FK6CU","REAR BUMPER","Passenger Side"
2022070694,"TOYT",2012,"4T1BD1FK6CU","TAIL LIGHTS","Passenger Side"
2022072908,"FORD",2019,"1FMCU9GD4KU","FRONT BUMPER","Front"
2022033271,"VOLK",2019,"3VWC57BUXKM","REAR BUMPER","Rear"
2022102035,"KIA",2022,"KNAE35LD1N6","FRONT BUMPER","Front"
2022049986,"HYUN",2018,"KMHD74LF1JU","REAR BUMPER","Rear"
2022012752,"LEXS",2015,"JTHCL5EF5F5","FRONT BUMPER","Passenger Side"
2022012752,"LEXS",2015,"JTHCL5EF5F5","HEADLIGHT","Passenger Side"
2022068503,"FORD",2014,"3FA6P0D9XER","FRONT BUMPER","Front"
