Keyword,Name,Rating,Review_count,Price_range,Category,Address,Latitude,Longitude,Current_status,Next_status,Website,Scraped_at,Telephone,Tags,Detail_URL
"auto body shop Jersey City, NJ",Firestone Complete Auto Care,3.6,357,,Tire shop,185 Central Ave,40.7654397,-74.2304605,Open,Closes 7 PM,/aclk?sa=l&ai=DChcSEwjJ0snsgKSFAxWzXkcBHc3iBL0YABAAGgJxdQ&gclid=EAIaIQobChMIydLJ7ICkhQMVs15HAR3N4gS9EBAYASAAEgKPqvD_BwE&sig=AOD64_2YMNMcJvVF2joUVvbC2Ln95uU2YQ&adurl&q&ctype=99,2024-04-02 12:01:13,(973) 323-2413," 
In-store shopping
·
Curbside pickup
 
BOOK ONLINE",https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x89c3ab4608269575:0xe5b589058e31d6a9!8m2!3d40.7654397!4d-74.2304605!16s%2Fg%2F1tdx9mzk!19sChIJdZUmCEarw4kRqdYxjgWJteU?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Jersey City Auto Body,4.4,39,,Auto body shop,21 Marcy Ave,40.723053,-74.089901,Open,Closes 5 PM,https://autobodyshopjerseycitynj.com/,2024-04-02 12:01:14,(201) 228-9787,,https://www.google.com/maps/place/Jersey+City+Auto+Body/data=!4m7!3m6!1s0x89c2513031f039a7:0x9abd0a26d092305!8m2!3d40.723053!4d-74.089901!16s%2Fg%2F1tp090sg!19sChIJpznwMTBRwokRBSMJbaLQqwk?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",RAM Auto body,5.0,2,,Auto repair shop,182 Broadway,40.7378565,-74.0761067,Open,Closes 3 PM,,2024-04-02 12:01:15,(201) 772-1031,,https://www.google.com/maps/place/RAM+Auto+body/data=!4m7!3m6!1s0x89c257281055dffb:0xbc77f9e8ba196a78!8m2!3d40.7378565!4d-74.0761067!16s%2Fg%2F11f33q91lf!19sChIJ-99VEChXwokReGoZuuj5d7w?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Sip Auto Body Inc,3.4,38,,Auto body shop,280 Sip Ave,40.7328733,-74.0733846,Open,Closes 5 PM,http://www.sipautobody.com/,2024-04-02 12:01:16,(201) 434-0676,,https://www.google.com/maps/place/Sip+Auto+Body+Inc/data=!4m7!3m6!1s0x89c2572bd007974b:0x3cdcf3f003dffe1d!8m2!3d40.7328733!4d-74.0733846!16s%2Fg%2F1tdcx_m0!19sChIJS5cH0CtXwokRHf7fA_Dz3Dw?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Ziggy Auto Body,4.4,215,,Auto body shop,377 7th St,40.726621,-74.051285,Open,Closes 5 PM,http://ziggy-auto-repair.edan.io/,2024-04-02 12:01:17,(201) 792-1325,,https://www.google.com/maps/place/Ziggy+Auto+Body/data=!4m7!3m6!1s0x89c2574ae61ee1c7:0x5b126348db82ade4!8m2!3d40.726621!4d-74.051285!16s%2Fg%2F1tjypmqx!19sChIJx-Ee5kpXwokR5K2C20hjEls?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Diamond Auto Body,4.6,41,,Auto body shop,311 Grant Ave,40.7144703,-74.0892143,Open,Closes 5 PM,,2024-04-02 12:01:19,(201) 433-9429,,https://www.google.com/maps/place/Diamond+Auto+Body/data=!4m7!3m6!1s0x89c2513cca758a9b:0x9e2f04631817da0c!8m2!3d40.7144703!4d-74.0892143!16s%2Fg%2F1vxw9579!19sChIJm4p1yjxRwokRDNoXGGMEL54?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Sernio's Auto Body,4.3,186,,Auto body shop,896 Communipaw Ave,40.7226799,-74.08497,Open,Closes 5 PM,http://www.serniosautobody.com/,2024-04-02 12:01:20,(201) 795-1673,,https://www.google.com/maps/place/Sernio%27s+Auto+Body/data=!4m7!3m6!1s0x89c2512f1d155f5d:0x71af3c6c2643dea7!8m2!3d40.7226799!4d-74.08497!16s%2Fg%2F1tj9cxmf!19sChIJXV8VHS9RwokRp95DJmw8r3E?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",B & R Auto Collision Repair,4.4,36,,Auto body shop,771 Communipaw Ave,40.7202301,-74.0800399,Open,Closes 6 PM,,2024-04-02 12:01:21,(201) 435-6383,,https://www.google.com/maps/place/B+%26+R+Auto+Collision+Repair/data=!4m7!3m6!1s0x89c251a30b8df35b:0x7ad7105d8cd1ad46!8m2!3d40.7202301!4d-74.0800399!16s%2Fg%2F11fm4hkqcf!19sChIJW_ONC6NRwokRRq3RjF0Q13o?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",East Coast Collision Body Repair,4.6,247,,Auto body shop,781 Garfield Ave,40.7062608,-74.0739236,Open,Closes 5 PM,http://www.eastcoastcollision.net/,2024-04-02 12:01:22,(201) 433-7300,,https://www.google.com/maps/place/East+Coast+Collision+Body+Repair/data=!4m7!3m6!1s0x89c250e0fe156159:0xe7b043f5ee848972!8m2!3d40.7062608!4d-74.0739236!16s%2Fg%2F1tmpwwws!19sChIJWWEV_uBQwokRcomE7vVDsOc?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Centro Auto Body Inc,4.0,68,,Auto body shop,334 Hoboken Ave,40.7334519,-74.053855,Open now,,,2024-04-02 12:01:24,(201) 653-7753,,https://www.google.com/maps/place/Centro+Auto+Body+Inc/data=!4m7!3m6!1s0x89c25737d2209529:0xeda0365296e9b002!8m2!3d40.7334519!4d-74.053855!16s%2Fg%2F1tghqhcb!19sChIJKZUg0jdXwokRArDpllI2oO0?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Latin America Auto Body,4.5,74,,Auto body shop,112 Central Ave,40.7382931,-74.0542964,Open,Closes 5 PM,https://www.facebook.com/LandAAutoBody/,2024-04-02 12:01:25,(201) 420-1924,,https://www.google.com/maps/place/Latin+America+Auto+Body/data=!4m7!3m6!1s0x89c2575ba07e6a6f:0x313c15c3be372246!8m2!3d40.7382931!4d-74.0542964!16s%2Fg%2F1tgxvgbc!19sChIJb2p-oFtXwokRRiI3vsMVPDE?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",King Auto Repair and Body Shop,5.0,5,,Auto body shop,1097 Garfield Ave,40.7155536,-74.0666824,Open,Closes 4:30 PM,,2024-04-02 12:01:26,(201) 333-0446,,https://www.google.com/maps/place/King+Auto+Repair+and+Body+Shop/data=!4m7!3m6!1s0x89c2510f0d1a5317:0x59493ebc01219f71!8m2!3d40.7155536!4d-74.0666824!16s%2Fg%2F11g18_grqn!19sChIJF1MaDQ9RwokRcZ8hAbw-SVk?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",St Mark Auto Center,3.9,38,,Auto body shop,625 Communipaw Ave,40.7178047,-74.0741092,Open,Closes 6 PM,,2024-04-02 12:01:27,(201) 333-3338,,https://www.google.com/maps/place/St+Mark+Auto+Center/data=!4m7!3m6!1s0x89c250d9cd25208f:0x4e0994f9a79459e4!8m2!3d40.7178047!4d-74.0741092!16s%2Fg%2F1x5qtpk5!19sChIJjyAlzdlQwokR5FmUp_mUCU4?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Jose's kustoms,4.0,27,,Auto body shop,446 Ocean Ave,40.7015232,-74.0819317,Open,Closes 7:30 PM,,2024-04-02 12:01:28,(973) 517-5534,,https://www.google.com/maps/place/Jose%27s+kustoms/data=!4m7!3m6!1s0x89c2511ca1ee5c5d:0x789add8f861dd29!8m2!3d40.7015232!4d-74.0819317!16s%2Fg%2F11gdqmmg2k!19sChIJXVzuoRxRwokRKd1h-NitiQc?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Auto Collision Repair Center,No reviews,,,Auto body shop,66 Tuers Ave Apartment 3a,40.727077,-74.0655253,Open,Closes 5 PM,https://www.alphaautobodyrepair.com/,2024-04-02 12:01:30,(201) 322-5721,,https://www.google.com/maps/place/Auto+Collision+Repair+Center/data=!4m7!3m6!1s0x89c25100010d2083:0x50c2137a79c07b4!8m2!3d40.727077!4d-74.0655253!16s%2Fg%2F11vymy77cb!19sChIJgyANAQBRwokRtAecpzchDAU?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",R&F Autobody Shop,4.0,5,,Auto repair shop,15-17 Brook St,40.7184344,-74.0546106,Open,Closes 5 PM,,2024-04-02 12:01:31,(201) 200-7037,,https://www.google.com/maps/place/R%26F+Autobody+Shop/data=!4m7!3m6!1s0x89c251f656c0af45:0x83d3c8758ebec090!8m2!3d40.7184344!4d-74.0546106!16s%2Fg%2F11jsbl0rg2!19sChIJRa_AVvZRwokRkMC-jnXI04M?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Sandy's Autobody,4.8,23,,Auto body shop,113 Seaview Ave,40.6920229,-74.0961683,Open,Closes 6 PM,,2024-04-02 12:01:32,(201) 413-0700,,https://www.google.com/maps/place/Sandy%27s+Autobody/data=!4m7!3m6!1s0x89c2510a7536a55b:0x382a36280ff9ec9a!8m2!3d40.6920229!4d-74.0961683!16s%2Fg%2F1tgcssx4!19sChIJW6U2dQpRwokRmuz5Dyg2Kjg?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Rabbit Auto body,4.9,8,,Auto body shop,487 Tonnelle Ave,40.7478924,-74.0616178,Open,Closes 6 PM,,2024-04-02 12:01:33,(201) 659-6869,,https://www.google.com/maps/place/Rabbit+Auto+body/data=!4m7!3m6!1s0x89c257eb33129b63:0xabcce481748ae871!8m2!3d40.7478924!4d-74.0616178!16s%2Fg%2F11fs7xlnmx!19sChIJY5sSM-tXwokRceiKdIHkzKs?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",A & M Auto Shop,4.3,72,,Auto repair shop,373 6th St,40.725801,-74.0513325,Open,Closes 5:30 PM,https://amautoshop.com/,2024-04-02 12:01:35,(201) 795-5520,,https://www.google.com/maps/place/A+%26+M+Auto+Shop/data=!4m7!3m6!1s0x89c2574adbd248f1:0x98f05df782aca28!8m2!3d40.725801!4d-74.0513325!16s%2Fg%2F1v1sm43w!19sChIJ8UjS20pXwokRKMoqeN8Fjwk?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Tyson Auto Repair and Body Shop,4.5,55,,Auto repair shop,15 Tyson Ln,40.7182661,-74.0764822,Open,Closes 7 PM,,2024-04-02 12:01:36,(551) 242-3332,,https://www.google.com/maps/place/Tyson+Auto+Repair+and+Body+Shop/data=!4m7!3m6!1s0x89c251f25c766b9f:0x7132ff48258d9a4!8m2!3d40.7182661!4d-74.0764822!16s%2Fg%2F11r_t7sk7r!19sChIJn2t2XPJRwokRpNlYgvQvEwc?authuser=0&hl=en&rclk=1
"auto body shop Jersey City, NJ",Nirala Auto Repair,3.0,51,,Auto repair shop,461 Communipaw Ave,40.7144673,-74.066959,Open,Closes 5 PM,,2024-04-02 12:01:37,(201) 451-2300,,https://www.google.com/maps/place/Nirala+Auto+Repair/data=!4m7!3m6!1s0x89c250db19b7e8bb:0x5eb14a2d399e3d12!8m2!3d40.7144673!4d-74.066959!16s%2Fg%2F11c1sk2qbj!19sChIJu-i3GdtQwokREj2eOS1KsV4?authuser=0&hl=en&rclk=1
