Keyword,Name,Rating,Review_count,Price_range,Category,Address,Latitude,Longitude,Current_status,Next_status,Website,Scraped_at,Telephone,Tags,Detail_URL
Auto body repair shop bronx ny,J&J Prestige Auto Collision And Repair Inc,3.8,78,,Auto body shop,2321 Bathgate Ave,40.8553859,-73.891345,Open,Closes 7 PM,https://www.jjprestigeautocollision.com/,2024-03-04 14:51:25,(646) 938-8068,,https://www.google.com/maps/place/J%26J+Prestige+Auto+Collision+And+Repair+Inc/data=!4m7!3m6!1s0x89c2f47dd6ffb77f:0x2b0b75516d17d0d8!8m2!3d40.8553859!4d-73.891345!16s%2Fg%2F11hctjxp5r!19sChIJf7f_1n30wokR2NAXbVF1Cys?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,S&T Auto Body,4.6,491,,Auto body shop,4632 Third Ave,40.8566899,-73.8907953,Open,Closes 5 PM,http://stautobody.com/,2024-03-04 14:51:26,(718) 220-2201," 
""This is by far the best repair shop in the entire NY area.""
 
BOOK ONLINE",https://www.google.com/maps/place/S%26T+Auto+Body/data=!4m7!3m6!1s0x89c2f47e6ed8cd73:0x1f0d31d2bf99a31b!8m2!3d40.8566899!4d-73.8907953!16s%2Fg%2F1tlc8_kh!19sChIJc83Ybn70wokRG6OZv9IxDR8?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,F&C BODY SHOP AND AUTO REPAIR,4.6,29,,Auto body shop,1271 Jerome Avenue Side Entrance,40.8378139,-73.920625,Open,Closes 5 PM,https://f-c-auto-body-repair.business.site/,2024-03-04 14:51:27,(718) 992-4001,,https://www.google.com/maps/place/F%26C+BODY+SHOP+AND+AUTO+REPAIR/data=!4m7!3m6!1s0x89c2f43bb3cd5347:0xdcc65938e864d032!8m2!3d40.8378139!4d-73.920625!16s%2Fg%2F1wj_v62c!19sChIJR1PNszv0wokRMtBk6DhZxtw?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Quality Auto Painting & Body,4.5,87,,Auto body shop,1941 Jerome Ave,40.851272,-73.90993,Open,Closes 5 PM,,2024-03-04 14:51:28,(718) 583-1540," 
""After a minor accident I took my car here for repairs.""",https://www.google.com/maps/place/Quality+Auto+Painting+%26+Body/data=!4m7!3m6!1s0x89c2f46d049410bb:0x1b4ec37ba64c5ddc!8m2!3d40.851272!4d-73.90993!16s%2Fg%2F1t_tl6t_!19sChIJuxCUBG30wokR3F1MpnvDThs?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Recharge Auto Body Repair,4.5,69,,Auto body shop,1088 Brook Ave,40.8290621,-73.9108421,Open,Closes 5:30 PM,http://www.rechargeauto.com/,2024-03-04 14:51:29,(917) 471-8071," 
""I highly recommend this shop for auto body repairs!!!""",https://www.google.com/maps/place/Recharge+Auto+Body+Repair/data=!4m7!3m6!1s0x89c2f590dfca540f:0x43f2d9638712fe2a!8m2!3d40.8290621!4d-73.9108421!16s%2Fg%2F11f5q84pmq!19sChIJD1TK35D1wokRKv4Sh2PZ8kM?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Triple M Auto Body Inc DBA Grand Prix Auto,5.0,48,,Auto body shop,3050 Boston Rd,40.8702772,-73.856356,Open,Closes 5 PM,,2024-03-04 14:51:31,(718) 231-6500," 
""I have no reserves in recommending this repair shop to anyone.""",https://www.google.com/maps/place/Triple+M+Auto+Body+Inc+DBA+Grand+Prix+Auto/data=!4m7!3m6!1s0x89c2f35d9141eceb:0xc7292b08ed1da913!8m2!3d40.8702772!4d-73.856356!16s%2Fg%2F11nxps1jgj!19sChIJ6-xBkV3zwokRE6kd7QgrKcc?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Park Avenue Auto Body Repair,4.5,91,,Auto body shop,3884 Park Ave,40.8401093,-73.9031913,Open,Closes 7 PM,,2024-03-04 14:51:32,(718) 294-5657,,https://www.google.com/maps/place/Park+Avenue+Auto+Body+Repair/data=!4m7!3m6!1s0x89c2f442fc3a3c8f:0x9ff97a389e22207c!8m2!3d40.8401093!4d-73.9031913!16s%2Fg%2F1ts3m3_m!19sChIJjzw6_EL0wokRfCAinjh6-Z8?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,East Collision Inc. Auto Body Shop,4.8,108,,Auto body shop,2266 Tillotson Ave,40.8821706,-73.8272391,Closes soon,4:30 PMOpens 7:30 AM Tue,https://www.eastcollisionnewyork.com/,2024-03-04 14:51:33,(718) 994-4900," 
""An auto collision repair would seem to be a difficult problem.""",https://www.google.com/maps/place/East+Collision+Inc.+Auto+Body+Shop/data=!4m7!3m6!1s0x89c28cdae11acd71:0x9a8b7fa9887bb52a!8m2!3d40.8821706!4d-73.8272391!16s%2Fg%2F1vl5hq6r!19sChIJcc0a4dqMwokRKrV7iKl_i5o?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Dale-Way Auto Body Center,4.4,66,,Auto body shop,3039 Tibbett Ave,40.8805672,-73.9088306,Open,Closes 6 PM,http://www.dale-way.com/,2024-03-04 14:51:34,(718) 601-8100," 
""Repair done through insurance.""
 
BOOK ONLINE",https://www.google.com/maps/place/Dale-Way+Auto+Body+Center/data=!4m7!3m6!1s0x89c2f395ae08a9cb:0x5316285935e3c648!8m2!3d40.8805672!4d-73.9088306!16s%2Fg%2F1ttdzcqd!19sChIJy6kIrpXzwokRSMbjNVkoFlM?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Bruckner Collision,4.5,79,,Auto body shop,511 Bruckner Blvd,40.8103485,-73.9026412,Open,Closes 5 PM,https://brucknercollisionllc.com/,2024-03-04 14:51:36,(718) 292-8553," 
""My 2nd time using this repair shop.""",https://www.google.com/maps/place/Bruckner+Collision/data=!4m7!3m6!1s0x89c2f5badde513ed:0x86948bc363d65e52!8m2!3d40.8103485!4d-73.9026412!16s%2Fg%2F1td4l1cj!19sChIJ7RPl3br1wokRUl7WY8OLlIY?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,MStop Auto Body & Repair,4.8,163,,Auto body shop,2970 Paulding Ave,40.8694492,-73.8585737,Open 24 hours,,http://www.mstopauto.com/,2024-03-04 14:51:37,(347) 533-8991," 
""Took my BMW for body paint repairs and they did what they do best.""",https://www.google.com/maps/place/MStop+Auto+Body+%26+Repair/data=!4m7!3m6!1s0x89c2f330c91aa1a5:0x6c608f0771a6f65b!8m2!3d40.8694492!4d-73.8585737!16s%2Fg%2F11hf3lxlt5!19sChIJpaEayTDzwokRW_amcQePYGw?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Frank & Son Autobody,4.7,121,,Auto body shop,1530 Stillwell Ave # B,40.8536746,-73.8424856,Open,Closes 5 PM,http://www.frankandsonautobody.net/,2024-03-04 14:51:38,(718) 822-6726," 
""Truly top Notch service and repairs.""
 
BOOK ONLINE",https://www.google.com/maps/place/Frank+%26+Son+Autobody/data=!4m7!3m6!1s0x89c2f3555638482b:0x9921ede8a128a08e!8m2!3d40.8536746!4d-73.8424856!16s%2Fg%2F1tgff94c!19sChIJK0g4VlXzwokRjqAooejtIZk?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,A & A Auto Body Inc.,4.6,60,,Auto body shop,1341 Blondell Ave,40.8418431,-73.8423805,Open,Closes 6 PM,,2024-03-04 14:51:39,(718) 863-9070," 
""I took my 2022 Jeep Compass to have two repairs done and they did ...""",https://www.google.com/maps/place/A+%26+A+Auto+Body+Inc./data=!4m7!3m6!1s0x89c2f4b2cc20c1f1:0x470e319bcea0670e!8m2!3d40.8418431!4d-73.8423805!16s%2Fg%2F1tddt3qk!19sChIJ8cEgzLL0wokRDmegzpsxDkc?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Dom's Auto Body,4.3,39,,Auto body shop,2405 Poplar St,40.8429657,-73.8541507,Open,Closes 5 PM,http://www.domsautobodybx.com/,2024-03-04 14:51:40,(718) 822-0794," 
""Excellent auto body repairs, well priced""",https://www.google.com/maps/place/Dom%27s+Auto+Body/data=!4m7!3m6!1s0x89c2f4b2b67d7ef9:0x90b71a5d8822a275!8m2!3d40.8429657!4d-73.8541507!16s%2Fg%2F1tglnv48!19sChIJ-X59trL0wokRdaIiiF0at5A?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Boston Road Collision,4.5,164,,Auto body shop,2345 Hollers Ave,40.8853501,-73.8255269,Open,Closes 5 PM,http://www.bostonroadcollision.net/,2024-03-04 14:51:41,(718) 324-0326," 
""Would highly recommend to anyone needing repairs!""",https://www.google.com/maps/place/Boston+Road+Collision/data=!4m7!3m6!1s0x89c2f3446abe63dd:0x45d87c9e04d3cd01!8m2!3d40.8853501!4d-73.8255269!16s%2Fg%2F1vgx1plx!19sChIJ3WO-akTzwokRAc3TBJ582EU?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Rhinelander Auto Body Ltd.,4.6,119,,Auto body shop,1909 White Plains Rd,40.847801,-73.867474,Open,Closes 5:30 PM,https://www.rhinelander.nyc/,2024-03-04 14:51:43,(718) 822-8905," 
""Excellent repair work.""",https://www.google.com/maps/place/Rhinelander+Auto+Body+Ltd./data=!4m7!3m6!1s0x89c2f4982517bc07:0xf9357c7239e696ca!8m2!3d40.847801!4d-73.867474!16s%2Fg%2F1thy0r2d!19sChIJB7wXJZj0wokRypbmOXJ8Nfk?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Karl's Auto Body Repair,4.8,45,,Auto body shop,316 W 240th St,40.886947,-73.902317,Open,Closes 5 PM,,2024-03-04 14:51:44,(718) 796-5544," 
""They did an excellent repair my my car that had been badly rear ended.""",https://www.google.com/maps/place/Karl%27s+Auto+Body+Repair/data=!4m7!3m6!1s0x89c2f3bb60dad541:0xf9b371db6d6f0de8!8m2!3d40.886947!4d-73.902317!16s%2Fg%2F1tgyxn4l!19sChIJQdXaYLvzwokR6A1vbdtxs_k?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Fashion Auto Body,4.9,37,,Auto body shop,1565 Stillwell Ave,40.8547444,-73.8419645,Open,Closes 5 PM,,2024-03-04 14:51:45,(718) 823-7908," 
""I highly recommend this shop for all vehicle damage repairs.""",https://www.google.com/maps/place/Fashion+Auto+Body/data=!4m7!3m6!1s0x89c2f35535326f23:0x59d888099dbe2c38!8m2!3d40.8547444!4d-73.8419645!16s%2Fg%2F1tj6vrsj!19sChIJI28yNVXzwokROCy-nQmI2Fk?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,"Collision Proz Auto Body Shop - Auto Body Repair in The Bronx, NY",4.2,107,,Auto body shop,1558 Stillwell Ave,40.8542803,-73.8418604,Open,Closes 5 PM,https://collisionprozautobodyshop.com/,2024-03-04 14:51:46,(718) 684-7580," 
""They did an AMAZING job repairing my car.""","https://www.google.com/maps/place/Collision+Proz+Auto+Body+Shop+-+Auto+Body+Repair+in+The+Bronx,+NY/data=!4m7!3m6!1s0x89c28d9e3d12b213:0xee55720d00cd1f4c!8m2!3d40.8542803!4d-73.8418604!16s%2Fg%2F11kl5c7n9n!19sChIJE7ISPZ6NwokRTB_NAA1yVe4?authuser=0&hl=en&rclk=1"
Auto body repair shop bronx ny,New Look Auto Repair & Collision LLC,4.8,32,,Auto repair shop,4309 Third Ave,40.8490554,-73.8952429,Open,Closes 6 PM,,2024-03-04 14:51:47,(718) 304-9999,,https://www.google.com/maps/place/New+Look+Auto+Repair+%26+Collision+LLC/data=!4m7!3m6!1s0x89c2f46486d1ea53:0x9cfa5bdb9b5b44d8!8m2!3d40.8490554!4d-73.8952429!16s%2Fg%2F11gk8qvl66!19sChIJU-rRhmT0wokR2ERbm9tb-pw?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Jay's Auto Body Corp.,4.7,78,,Auto body shop,4150 Boston Rd #B,40.886303,-73.826238,Open,Closes 5 PM,https://wemeetbyaccidents.com/,2024-03-04 14:51:50,(718) 655-9480," 
""“BEST PLACE to go for repairs or anything you need for your car!!""",https://www.google.com/maps/place/Jay%27s+Auto+Body+Corp./data=!4m7!3m6!1s0x89c28cd96fde0c1d:0xd0f297c11b0af34d!8m2!3d40.886303!4d-73.826238!16s%2Fg%2F1tgnbjv0!19sChIJHQzeb9mMwokRTfMKG8GX8tA?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,Pro Shop Auto Body Inc.,4.9,102,,Auto body shop,2622 Chesbrough Ave,40.8442768,-73.8446172,Open,Closes 5 PM,,2024-03-04 14:51:51,(718) 828-4099," 
""He kept me up to date with the repairs and the car came out great.""",https://www.google.com/maps/place/Pro+Shop+Auto+Body+Inc./data=!4m7!3m6!1s0x89c2f4ad78f1452d:0xc7a5f80a7569991a!8m2!3d40.8442768!4d-73.8446172!16s%2Fg%2F11bvctthz8!19sChIJLUXxeK30wokRGplpdQr4pcc?authuser=0&hl=en&rclk=1
Auto body repair shop bronx ny,AAJ Auto Collision,4.4,93,,Auto body shop,4504 Park Ave,40.8548564,-73.8948841,Open,Closes 5 PM,https://aajautocollision.com/?utm_source=omg-gbp&utm_medium=webclick,2024-03-04 14:51:52,(718) 295-4049," 
""Very quick to repair my vehicle and great service.""",https://www.google.com/maps/place/AAJ+Auto+Collision/data=!4m7!3m6!1s0x89c2f47bf547a559:0xe826975672e9def3!8m2!3d40.8548564!4d-73.8948841!16s%2Fg%2F11ddx22k54!19sChIJWaVH9Xv0wokR897pclaXJug?authuser=0&hl=en&rclk=1
