Keyword,Name,Rating,Review_count,Price_range,Category,Address,Latitude,Longitude,Current_status,Next_status,Website,Scraped_at,Telephone,Tags,Detail_URL
Auto body shop philladelphia,Pro Team Collision,4.9,307,,Auto body shop,378 Crooked Ln,40.0930726,-75.3451387,Closes soon,5 PMOpens 8 AM Thu,/aclk?sa=l&ai=DChcSEwioz-ugzeCEAxXGbX8AHZ0CBOYYABAAGgJvYQ&gclid=EAIaIQobChMIqM_roM3ghAMVxm1_AB2dAgTmEBAYASAAEgKYcvD_BwE&sig=AOD64_3UnYu17Y4Oy6mknorPv410ngVMiQ&adurl&q&ctype=99,2024-03-06 15:42:01,(610) 277-2544,,https://www.google.com/maps/place/Pro+Team+Collision/data=!4m7!3m6!1s0x89c695f71ab74a41:0x3e2e2e9401bc0289!8m2!3d40.0930726!4d-75.3451387!16s%2Fg%2F1tg87m04!19sChIJQUq3GveVxokRiQK8AZQuLj4?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,PACIFICO. MARPLE LINCOLN,4.9,25,,Lincoln dealer,3015 West Chester Pike,39.984332,-75.3750075,Open,Closes 8 PM,/aclk?sa=l&ai=DChcSEwioz-ugzeCEAxXGbX8AHZ0CBOYYABABGgJvYQ&gclid=EAIaIQobChMIqM_roM3ghAMVxm1_AB2dAgTmEBAYAiAAEgJrS_D_BwE&sig=AOD64_3D5KHyXBABt7ugp03at2YJKUzh6A&adurl&q&ctype=99,2024-03-06 15:42:02,(844) 842-1993," 
In-store shopping
·
In-store pickup
·
Delivery",https://www.google.com/maps/place/PACIFICO.+MARPLE+LINCOLN/data=!4m7!3m6!1s0x89c6ea58346aaaab:0x8313f7e08ff72f5c!8m2!3d39.984332!4d-75.3750075!16s%2Fg%2F11s52yj9zr!19sChIJq6pqNFjqxokRXC_3j-D3E4M?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Rocco's Collision Center,4.6,208,,Auto body shop,806 Reed St,39.9315709,-75.1583468,Closes soon,5:30 PMOpens 7:30 AM Thu,https://www.roccoscollision.com/reed-st-phil/,2024-03-06 15:42:03,(215) 334-3244,,https://www.google.com/maps/place/Rocco%27s+Collision+Center/data=!4m7!3m6!1s0x89c6c61c45185699:0xacfd7e4f7849c949!8m2!3d39.9315709!4d-75.1583468!16s%2Fg%2F1vfzg39f!19sChIJmVYYRRzGxokRSclJeE9-_aw?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,K & A Auto Body Shop,4.6,194,,Auto body shop,429 S 61st St,39.9546869,-75.2440033,Closes soon,5 PMOpens 8 AM Thu,https://www.kandaautobodyshop.com/,2024-03-06 15:42:04,(215) 476-9299,,https://www.google.com/maps/place/K+%26+A+Auto+Body+Shop/data=!4m7!3m6!1s0x89c6c7a5b1f6e203:0xfa9935eaa188a876!8m2!3d39.9546869!4d-75.2440033!16s%2Fg%2F1tjyvkhm!19sChIJA-L2saXHxokRdqiIoeo1mfo?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,A.O.K. Auto Body & Glass,4.8,134,,Auto body shop,1330 Washington Ave,39.9375864,-75.1658468,Open,Closes 6 PM,http://aokautobody.net/,2024-03-06 15:42:06,(215) 465-4300,,https://www.google.com/maps/place/A.O.K.+Auto+Body+%26+Glass/data=!4m7!3m6!1s0x89c6c61827cca287:0x34380f8b626af3f1!8m2!3d39.9375864!4d-75.1658468!16s%2Fg%2F1thlp0k3!19sChIJh6LMJxjGxokR8fNqYosPODQ?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Sam's Autobody Collision Center,4.8,41,,Auto body shop,4048 G St,40.0105886,-75.1133328,Closes soon,5 PMOpens 9 AM Thu,,2024-03-06 15:42:07,(215) 425-6000,,https://www.google.com/maps/place/Sam%27s+Autobody+Collision+Center/data=!4m7!3m6!1s0x89c6b7ca2cf9a259:0x470d292ada45a317!8m2!3d40.0105886!4d-75.1133328!16s%2Fg%2F1tdzbch3!19sChIJWaL5LMq3xokRF6NF2iopDUc?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Nasim Auto and Collision,4.6,120,,Auto body shop,615 W Fisher Ave,40.0324995,-75.1339554,Open,Closes 6 PM,http://businessfinder.pennlive.com/nasim-auto-collision-philadelphia-pa.html,2024-03-06 15:42:08,(215) 324-9500,,https://www.google.com/maps/place/Nasim+Auto+and+Collision/data=!4m7!3m6!1s0x89c6b79f1daa733b:0x71d56804266c6792!8m2!3d40.0324995!4d-75.1339554!16s%2Fg%2F1pt_367sg!19sChIJO3OqHZ-3xokRkmdsJgRo1XE?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Len's Auto Body,4.7,48,,Auto body shop,4819 Cottman Ave,40.0281545,-75.0338071,Open,Closes 6:30 PM,https://www.lensautobody.net/,2024-03-06 15:42:09,(215) 333-8177,,https://www.google.com/maps/place/Len%27s+Auto+Body/data=!4m7!3m6!1s0x89c6b4496e854c17:0x6b63d03b0759e02e!8m2!3d40.0281545!4d-75.0338071!16s%2Fg%2F1th7nvtz!19sChIJF0yFbkm0xokRLuBZBzvQY2s?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Liberty Collision Center,4.7,84,,Auto body shop,117 Richmond St,39.9665895,-75.1336367,Closes soon,5 PMOpens 8 AM Thu,http://libertycollision.center/,2024-03-06 15:42:11,(215) 634-5331,,https://www.google.com/maps/place/Liberty+Collision+Center/data=!4m7!3m6!1s0x89c6c868676a72c1:0x9328550c8db1de43!8m2!3d39.9665895!4d-75.1336367!16s%2Fg%2F1tk_kp10!19sChIJwXJqZ2jIxokRQ96xjQxVKJM?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Caliber Collision,4.8,570,,Auto body shop,2052 Washington Ave,39.938984,-75.177714,Closes soon,5:30 PMOpens 7:30 AM Thu,https://www.caliber.com/find-a-location/center-city-south?utm_source=google&utm_medium=gbp-profile&utm_campaign=collision,2024-03-06 15:42:12,(215) 545-9969,,https://www.google.com/maps/place/Caliber+Collision/data=!4m7!3m6!1s0x89c6c66ad27b5755:0x7cad66bf8564eac5!8m2!3d39.938984!4d-75.177714!16s%2Fg%2F1thmlz02!19sChIJVVd70mrGxokRxepkhb9mrXw?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Liberty Auto Body,5.0,131,,Auto body shop,1616 McKean St,39.9260522,-75.1735079,Closes soon,5 PMOpens 9 AM Thu,,2024-03-06 15:42:13,(215) 271-9420,,https://www.google.com/maps/place/Liberty+Auto+Body/data=!4m7!3m6!1s0x89c6c60c12cab8eb:0x142d146726c66fe3!8m2!3d39.9260522!4d-75.1735079!16s%2Fg%2F1tjwjp_d!19sChIJ67jKEgzGxokR42_GJmcULRQ?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Nigro's Auto Body Repair,4.5,269,,Auto repair shop,939 Washington Ave,39.9368238,-75.159543,Closes soon,5 PMOpens 8:30 AM Thu,http://phillyautobody.com/,2024-03-06 15:42:14,(215) 925-4520,,https://www.google.com/maps/place/Nigro%27s+Auto+Body+Repair/data=!4m7!3m6!1s0x89c6c61f3a966c9f:0x608e4c34653a7c8f!8m2!3d39.9368238!4d-75.159543!16s%2Fg%2F1thl_dby!19sChIJn2yWOh_GxokRj3w6ZTRMjmA?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Fairmount Auto Body N Fender,4.5,42,,Auto body shop,715 N 42nd St,39.9652587,-75.2072424,Closes soon,5 PMOpens 9 AM Thu,,2024-03-06 15:42:16,(215) 240-7592,,https://www.google.com/maps/place/Fairmount+Auto+Body+N+Fender/data=!4m7!3m6!1s0x89c6c7020189f0a1:0xc772a1a9cbfa0f9!8m2!3d39.9652587!4d-75.2072424!16s%2Fg%2F1pp2tv9ln!19sChIJofCJAQLHxokR-aC_nBoqdww?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Basil's Auto Body,3.7,23,,Auto body shop,1645 Washington Ave,39.9385787,-75.1713653,Closes soon,5 PMOpens 8 AM Thu,http://usaautobody.net/,2024-03-06 15:42:17,(215) 735-2199,,https://www.google.com/maps/place/Basil%27s+Auto+Body/data=!4m7!3m6!1s0x89c6c616721d7a83:0x26396a30cb0fd413!8m2!3d39.9385787!4d-75.1713653!16s%2Fg%2F1v7tmb8t!19sChIJg3odchbGxokRE9QPyzBqOSY?authuser=0&hl=en&rclk=1
Auto body shop philladelphia,Provision Collision,4.7,73,,Auto body shop,2536 Castor Ave #5542,39.9924234,-75.0930112,Open,Closes 6 PM,,2024-03-06 15:42:18,(267) 752-1037,,https://www.google.com/maps/place/Provision+Collision/data=!4m7!3m6!1s0x89c6b627abb1f653:0xefc3a4c013f96547!8m2!3d39.9924234!4d-75.0930112!16s%2Fg%2F1tcwgys7!19sChIJU_axqye2xokRR2X5E8Ckw-8?authuser=0&hl=en&rclk=1
